name,working,number,number2,address
506. 금호 어울림 아파트 앞,운영중,7,4,서울특별시 성동구 광나루로 249 송정금호어울림 아파트 앞
507. 성수아이에스비즈타워 앞,운영중,7,3,서울특별시 성동구 성수이로 147 아이에스비즈타워 앞
508. 성수아카데미타워 앞,운영중,10,4,서울특별시 성동구 성수이로 118 라성아카데미타워 앞
509. 이마트 버스정류소 옆,운영중,20,17,서울특별시 성동구 뚝섬로 379 이마트 버스정류소 옆
510. 서울숲 남문 버스정류소 옆,운영중,10,7,서울특별시 성동구 왕십리로11길 9 서울숲남문 버스정류소 옆
511. 서울숲역 4번 출구 옆,운영중,16,8,서울특별시 성동구 왕십리로 지하77 서울숲역 4번 출구 옆
512. 뚝섬역 1번 출구 옆,운영중,15,10,서울특별시 성동구 아차산로 18 뚝섬역 1번 출구 옆
513. 뚝섬역 5번 출구 정류소 옆,운영중,8,4,서울특별시 성동구 아차산로 18 뚝섬역 5번 출구 정류소 옆
514. 성수사거리 버스정류장 앞,운영중,7,4,서울특별시 성동구 아차산로 171 성수사거리 버스정류장 앞
515. 광양중학교 앞,운영중,10,8,서울특별시 광진구 자양로3길 7 광양중학교 앞
516. 광진메디컬 앞,운영중,10,8,서울특별시 광진구 광나루로 355 광진메디컬앞
